Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCENV02,Environmental Health Workers - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCENV02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Environmental Health Workers - Minimum Annual Salary Range",WOCCENV02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Environmental Health Workers - Minimum Annual Salary Range",D03C2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Environmental Health Workers - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCENV03,Environmental Health Workers - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCENV03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Environmental Health Workers - Maximum Annual Salary Range",WOCCENV03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Environmental Health Workers - Maximum Annual Salary Range",D03C3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Environmental Health Workers - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCENV06,Environmental Health Workers - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCENV04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Environmental Health Workers- Employee Fringe Benefits as a percent of salary",D03C4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Environmental Health Workers- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCLAB01,Laboratory Worker- Total current FTE count,,WOCCLAB01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker- Total current FTE count",WOCCLAB01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker- Total current FTE count",D03D1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCLAB02,Laboratory Worker - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCLAB02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Laboratory Worker - Minimum Annual Salary Range",WOCCLAB02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Laboratory Worker - Minimum Annual Salary Range",D03D2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Laboratory Worker - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCLAB03,Laboratory Worker - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCLAB03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker - Maximum Annual Salary Range",WOCCLAB03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker - Maximum Annual Salary Range",D03D3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCLAB06,Laboratory Worker - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCLAB04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker- Employee Fringe Benefits as a percent of salary",D03D4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Laboratory Worker- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHM01,Executive leadership - Total current FTE count,,WOCCPHM01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Agency Leadership - Total current FTE count",WOCCPHM01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager- Total current FTE count",D03E1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHM02,Executive leadership - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHM02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Agency Leadership - Minimum Annual Salary Range",WOCCPHM02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Manager - Minimum Annual Salary Range",D03E2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Manager - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHM03,Executive leadership - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHM03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Agency Leadership - Maximum Annual Salary Range",WOCCPHM03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager - Maximum Annual Salary Range",D03E3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHM06,Executive leadership - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCPHM04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager- Employee Fringe Benefits as a percent of salary",D03E4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Public Health Manager- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCSOC01,Behavioral health staff- Total current FTE count,,WOCCSOC01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Behavioral health staff- Total current FTE count",WOCCSOC01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker- Total current FTE count",D03F1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCSOC02,Behavioral Health Staff - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCSOC02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Behavioral Health Staff - Minimum Annual Salary Range",WOCCSOC02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Social Worker - Minimum Annual Salary Range",D03F2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Social Worker - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCSOC03,Behavioral health staff - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCSOC03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Behavioral health staff - Maximum Annual Salary Range",WOCCSOC03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker - Maximum Annual Salary Range",D03F3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCSOC06,Behavioral health staff  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCSOC04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker- Employee Fringe Benefits as a percent of salary",D03F4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Social Worker- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCEPI01,Epidemiologist/Statistician- Total current FTE count,,WOCCEPI01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician- Total current FTE count",WOCCEPI01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician- Total current FTE count",D03G1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCEPI02,Epidemiologist/Statistician - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCEPI02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Minimum Annual Salary Range",WOCCEPI02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Minimum Annual Salary Range",D03G2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCEPI03,Epidemiologist/Statistician - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCEPI03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Maximum Annual Salary Range",WOCCEPI03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Maximum Annual Salary Range",D03G3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Epidemiologist/Statistician - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCEPI06,Epidemiologist/Statistician  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCEPI04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Epidemiologist/Statistician- Employee Fringe Benefits as a percent of salary",D03G4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency - Epidemiologist/Statistician- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCHED01,Health Educator- Total current FTE count,,WOCCHED01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator- Total current FTE count",WOCCHED01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator- Total current FTE count",D03H1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCHED02,Health Educator - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCHED02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Minimum Annual Salary Range",WOCCHED02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Minimum Annual Salary Range",D03H2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCHED03,Health Educator - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCHED03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Maximum Annual Salary Range",WOCCHED03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Maximum Annual Salary Range",D03H3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCHED06,Health Educator  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCHED04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator- Employee Fringe Benefits as a percent of salary",D03H4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Health Educator- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHI01,Public health informatics specialist- Total current FTE count,,WOCCPHI01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist- Total current FTE count",WOCCPHI01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist- Total current FTE count",D03J1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHI02,Public health informatics specialist - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHI02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Minimum Annual Salary Range",WOCCPHI02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Minimum Annual Salary Range",D03J2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHI03,Public health informatics specialist - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHI03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Maximum Annual Salary Range",WOCCPHI03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Maximum Annual Salary Range",D03J3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHI06,Public health informatics specialist  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCPHI04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist- Employee Fringe Benefits as a percent of salary",D03J4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public health informatics specialist- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCNUT01,Nutritionist- Total current FTE count,,WOCCNUT01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist- Total current FTE count",WOCCNUT01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist- Total current FTE count",D03K1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCNUT02,Nutritionist - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCNUT02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Minimum Annual Salary Range",WOCCNUT02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Minimum Annual Salary Range",D03K2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCNUT03,Nutritionist - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCNUT03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Maximum Annual Salary Range",WOCCNUT03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Maximum Annual Salary Range",D03K3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCNUT06,Nutritionist  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCNUT04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist- Employee Fringe Benefits as a percent of salary",D03K4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Nutritionist- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHP01,Public Health Physician- Total current FTE count,,WOCCPHP01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician- Total current FTE count",WOCCPHP01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician- Total current FTE count",D03L1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHP02,Public Health Physician - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHP02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Minimum Annual Salary Range",WOCCPHP02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Minimum Annual Salary Range",D03L2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHP03,Public Health Physician - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPHP03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Maximum Annual Salary Range",WOCCPHP03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Maximum Annual Salary Range",D03L3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPHP06,Public Health Physician  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCPHP04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician- Employee Fringe Benefits as a percent of salary",D03L4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public Health Physician- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPIS01,Public information specialist- Total current FTE count,,WOCCPIS01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist- Total current FTE count",WOCCPIS01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist- Total current FTE count",D03M1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist- Total current FTE count",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPIS02,Public information specialist - Minimum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPIS02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Minimum Annual Salary Range",WOCCPIS02,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Minimum Annual Salary Range",D03M2_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Minimum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPIS03,Public information specialist - Maximum Annual Salary Range,This data was taken from 2017 PH WINS responses for states. ,WOCCPIS03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Maximum Annual Salary Range",WOCCPIS03,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Maximum Annual Salary Range",D03M3_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist - Maximum Annual Salary Range",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPIS06,Public information specialist  - Total contractors and temps,Added to 2019 survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,WOCCPIS04,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist- Employee Fringe Benefits as a percent of salary",D03M4_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Public information specialist- Employee Fringe Benefits as a percent of salary",,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOCCPRP01,Preparedness staff- Total current FTE count,,WOCCPRP01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Preparedness staff- Total current FTE count",WOCCPRP01,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Preparedness and response staff- Total current FTE count",D03N1_2010,"For each occupational classification listed in the following table, please provide the total current FTE count, the annual salary range and employee and fringe benefits for staff working in your state/territorial public health agency -Preparedness director- Total current FTE count",changed name and added explanation in 2012,,,added in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
